"mhm_protocol","mhm_measuredDate","mhm_createDate","mhm_updateDate","mhm_publishDate","mhm_organizationId","mhm_organizationName","mhm_siteId","mhm_siteName","mhm_ExtraData","mhm_AbdomenCloseupPhotoUrls","mhm_LarvaeCount","mhm_MosquitoEggs","mhm_LocationAccuracyM","mhm_MosquitoEggCount","mhm_Comments","mhm_WaterSourcePhotoUrls","mhm_Latitude","mhm_Longitude","mhm_MosquitoHabitatMapperId","mhm_BreedingGroundEliminated","mhm_MeasuredAt","mhm_MeasurementElevation","mhm_Userid","mhm_Genus","mhm_LocationMethod","mhm_WaterSource","mhm_MosquitoAdults","mhm_Species","mhm_MosquitoPupae","mhm_DataSource","mhm_LarvaFullBodyPhotoUrls","mhm_LastIdentifyStage","mhm_WaterSourceType","mhm_GlobeTeams"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231932","47PPL029541","","","20","","","","","https://data.globe.gov/system/photos/2021/07/13/2328718/original.jpg","9.5351","99.9381","30595","true","2021-07-13T02:20:00","0","80448842","","manual","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231930","47PPL026539","","","30","","","","","https://data.globe.gov/system/photos/2021/07/13/2328721/original.jpg","9.5329","99.9356","30596","true","2021-07-13T02:21:00","0","80448842","","manual","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231930","47PPL026539","","","0","","","","","https://data.globe.gov/system/photos/2021/07/13/2328723/original.jpg","9.533","99.9355","30598","true","2021-07-13T02:25:00","0","80448842","","manual","well or cistern","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231930","47PPL026539","","","0","","","","","https://data.globe.gov/system/photos/2021/07/13/2328724/original.jpg","9.533","99.9355","30599","true","2021-07-13T02:27:00","0","80448842","","manual","well or cistern","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231931","47PPL019563","","","0","","","","","https://data.globe.gov/system/photos/2021/07/13/2328726/original.jpg","9.5551","99.9293","30600","true","2021-07-13T02:28:00","0","80448842","","manual","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231931","47PPL019563","","","0","","","","","https://data.globe.gov/system/photos/2021/07/13/2328727/original.jpg","9.5551","99.9293","30601","true","2021-07-13T02:33:00","0","80448842","","manual","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231931","47PPL019563","","","0","","","","","https://data.globe.gov/system/photos/2021/07/13/2328728/original.jpg","9.5552","99.9293","30602","true","2021-07-13T02:35:00","0","80448842","","manual","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231931","47PPL019563","","","25","","","","","https://data.globe.gov/system/photos/2021/07/13/2328730/original.jpg","9.5552","99.9293","30603","true","2021-07-13T02:43:00","0","80448842","","manual","animal trough or water bowl","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231931","47PPL019563","","","5","","","","","https://data.globe.gov/system/photos/2021/07/13/2328731/original.jpg","9.5552","99.9293","30604","true","2021-07-13T02:44:00","0","80448842","","manual","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231931","47PPL019563","","","10","","","","","https://data.globe.gov/system/photos/2021/07/13/2328734/original.jpg","9.555","99.9293","30606","true","2021-07-13T02:47:00","0","80448842","","manual","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231931","47PPL019563","","","15","","","","","https://data.globe.gov/system/photos/2021/07/13/2328735/original.jpg","9.555","99.9293","30607","true","2021-07-13T02:49:00","0","80448842","","manual","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-13","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","232282","47PPL027538","","","10","","32","","","https://data.globe.gov/system/photos/2021/07/13/2328760/original.jpg","9.5328","99.9358","30608","true","2021-07-13T03:06:00","0","80448842","","automatic","well or cistern","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-07","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","44829585","Rachineeburana School","243186","47PPR130269","","","","","65","","","https://data.globe.gov/system/photos/2021/07/07/2328838/original.jpg","13.8095","100.0456","30610","false","2021-07-07T03:28:00","0","58543634","","automatic","refrigerator drainage","","","false","GLOBE Observer App","","identify","container: artificial",""
